Value,area,type,country,percent,id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
96727,0.118789978,dam,TURKEY,17.08616131,2,,,,,,,,,,,,,,,,,,,,,,,,,0.008470688,0.012321,0.155552625,0.147081938,0.164023313,0.113199188,0.127830375
89149,0.032591093,artificial,IRAN,3.549994109,1,,,,,,,,,,,,,,,0.001540125,,,,,,0.017711438,0.0061605,0.011550938,0.014631188,0.005390438,0.005390438,0.014631188,0.0184815,0.017711438,0.017711438,0.026952188
67890,0.032540683,artificial,IRAN,-0.793694916,1,0.017711438,0.020021625,0.020021625,0.020021625,0.010780875,0.010780875,0.010780875,0.010780875,0.010780875,0.010780875,0.008470688,0.010780875,0.013861125,0.007700625,0.011550938,0.010010813,,0.005390438,,0.004620375,0.0061605,,0.004620375,0.00924075,,0.008470688,,0.01540125,0.000770063,0.020021625,0.00308025
91413,0.118321881,dam,TURKEY,-0.325410057,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063915188,0.06468525,0.063915188,0.062375063,0.063145125
159058,0.032538194,artificial,AZERBAIJAN,-2.00024483,1,,0.035422875,0.035422875,0.035422875,0.035422875,0.035422875,0.035422875,0.035422875,0.026952188,0.035422875,0.016941375,0.017711438,0.0308025,0.017711438,0.028492313,0.023871938,0.0308025,0.0308025,0.022331813,0.0184815,0.029262375,0.024642,,0.00924075,0.013861125,0.01540125,0.02156175,0.024642,0.0061605,0.023101875,0.014631188
155053,0.118288063,dam,TURKEY,1.031464212,2,,,,,,,,,,,0.13245075,0.08932725,0.13245075,0.090867375,0.11396925,0.13245075,0.115509375,0.04004325,0.073155938,0.13245075,0.128600438,0.13245075,0.131680688,0.128600438,0.1293705,0.1293705,0.127830375,0.111659063,0.1293705,0.130910625,0.12629025
94305,0.118143447,dam,TURKEY,-0.939704098,2,,,,,,,,,0.09548775,0.108578813,0.110118938,0.079316438,0.11396925,0.115509375,0.114739313,0.109348875,0.107038688,0.100878188,0.096257813,0.112429125,0.098568,0.112429125,0.103958438,0.109348875,0.110889,0.097027875,0.09548775,0.093177563,0.06468525,0.080856563,0.0677655
88487,0.032525431,artificial,IRAN,-1.618882846,1,,,,,,,,,,,0.014631188,0.013091063,0.014631188,0.014631188,0.011550938,0.014631188,0.00308025,0.014631188,0.000770063,,0.013091063,0.001540125,0.000770063,0.005390438,0.011550938,,0.008470688,,,0.006930563,0.001540125
98354,0.118107244,dam,TURKEY,-0.055926053,2,,,,,,0.140151375,0.140151375,0.140151375,0.149392125,0.151702313,0.01540125,0.004620375,0.150162188,0.143231625,0.144001688,0.118589625,0.151702313,0.120899813,0.137071125,0.152472375,0.152472375,0.147852,0.148622063,0.150162188,0.14477175,0.149392125,0.110118938,0.133220813,0.147081938,0.045433688,0.063145125
89683,0.032520596,artificial,TURKEY,-7.543175963,1,,,,,,,,,,,,,,,,,,,,,,,0.037733063,0.037733063,0.020791688,0.030032438,,0.0308025,,0.02772225,0.007700625
98601,0.11802078,dam,TURKEY,0.126543402,2,,,,,,0.10780875,0.10780875,0.10780875,0.10780875,0.120899813,0.12629025,0.1170495,0.125520188,0.121669875,0.118589625,0.120899813,0.11396925,0.1170495,0.119359688,0.121669875,0.114739313,0.11396925,0.110889,0.122439938,0.1170495,0.125520188,0.119359688,0.123980063,0.121669875,0.12629025,0.1170495
156622,0.117973991,dam,TURKEY,4.46627967,2,0.026952188,0.069305625,0.069305625,0.069305625,0.069305625,0.094717688,0.094717688,0.094717688,0.094717688,0.083936813,0.085476938,0.007700625,0.0924075,0.07084575,0.090867375,0.063915188,0.088557188,0.091637438,0.080856563,0.07700625,0.094717688,0.094717688,0.0924075,0.094717688,0.093177563,0.103188375,0.102418313,0.102418313,0.094717688,0.103188375,0.107038688
